,Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,World,WLD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Afghanistan,AFG,0,0,0,0,1461377.134,7951684.064,9295340.266,10993283.47,7982566.817,13997503.37,13906005.81,11896889.85,1817807.609,4498973.837,10994442.73,12639206.76,17915764.6,5413670.467,2002516.291,5699156.196,19298097.92,3914395.645,1610274.204,2242311.212,2006686.98,2245496.885,3956869.828,3972051.387,1045648.528,1216374.079,7330554.634,8571046.442,5860032.962,4111670.63,4717570.222,7222487.914,16152037.86,14912776.9,19370293.54,10976734.6,17447254.32,23915376.64,27975406.07,28250985.04,26589706.22,16591951.19,12859890.62
2,Albania,ALB,191561.1882,355517.192,483998.0553,870100.2077,39293525.89,42797468.75,56496992.84,67101472.62,73233965.5,206169619.5,273651555.3,232391462.6,256769336.3,347579372.1,244654985.8,235506926.7,90284864.64,121993480.8,78481785.79,113422717.9,117834060.2,30143006.42,12214525.96,12388116.71,12073530.94,10486516.99,13287554.04,10140496.43,1151245.376,4362430.399,10571609.81,8221940.625,10066340.89,13628116.94,9542012.288,22369135.3,36527858.47,29156106.59,43624568.61,34184295.93,87084622.32,195044734.4,222736295.9,279005934.2,294335650.4,110059533.2,143094677.2
3,Algeria,DZA,1521146.354,1044964.131,2979206.175,10786751.19,1586346602,1474067312,1919743520,2385341478,2641367092,7126668582,7662134057,4791152123,3460984783,3431986028,3623567292,3619572781,1468364341,2425325264,1782090758,2958220196,4540916301,2866271212,2313429585,2142500980,1853731309,2067164150,3197321576,2892551495,1567014434,2161116147,4320797147,4045624791,4354593838,6513534960,9469201733,15459243545,19101443474,20804975590,28194122449,15014777744,18985114632,27470506610,27308751872,25002611332,23213347232,10650448674,12039305214
4,American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andorra,AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Angola,AGO,0,72.24057266,18105511.42,65094061.6,441845780,372814749,383747313.1,386305981,328973354.8,913514695.6,983438327.2,623347729.6,362952612.7,624855151.1,686823026.7,910429687.8,565999215.5,1175478211,1249050781,2005028560,2996416425,1842366509,2251652214,1786746139,1553221494,1893475947,2643901590,2415914819,1166490658,2109234644,3731716689,2610009831,2915354694,3114928769,5663998418,11852683868,16524008691,23870859795,38721767792,16301899254,24640560544,35210697098,33399383734,30360409443,24052916376,8095254645,8760714293
7,Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Argentina,ARG,33820.68363,159332.6845,180236.2024,1640871.205,588200476.5,550145511.2,640438863.6,623169984.9,651114521.2,2345012132,3265572986,2782326167,1572303773,2155161209,2011492085,1894760418,673892754.8,1134732356,853804683.5,1513656222,2477793300,1356394134,1609171843,1661999717,1711881171,2090242667,3088997415,2833659391,1286751730,2354437130,4690188988,3546155047,3633124526,4238874988,5695733060,8608946954,10124751041,10191755726,13698164246,6489253454,8433049492,12966839667,12499221542,11036573647,10140791133,3750925100,3726737476
9,Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
