,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,World,WLD,80.01612111,80.34427528,81.10930341,81.72413151,82.32365179,83.74470316,84.2933469,84.82780931,85.34864887,85.85004886,86.34352428,86.7418325,87.19449782,87.61650886,88.04544516,88.46361566,88.46361566,88.46361566
1,Afghanistan,AFG,27.06985916,27.16058642,29.68308518,32.20951962,34.73993262,37.27590709,39.81787016,42.36563296,44.91963216,47.47966935,50.04619073,52.61932497,55.19920073,57.78594666,60.37934056,62.98020808,62.98020808,62.98020808
2,Albania,ALB,87.58479499,87.65395136,87.72387952,87.7887929,87.84864255,87.9028779,87.95172798,87.99504018,88.03267279,88.06392235,88.08949233,88.10882098,88.23500804,89.84174957,91.36792313,91.39433316,91.39433316,91.39433316
3,Algeria,DZA,89.8372564,90.11459826,90.38716942,90.65480185,90.91754503,91.17525841,91.42819244,91.67621757,91.91957325,92.15679683,92.38832993,92.61434563,92.83494129,93.05037126,93.26080864,93.46642653,93.46642653,93.46642653
4,American Samoa,ASM,98.5,98.56097,98.62194,98.68291,98.74388,98.80485,98.86582,98.92679,98.98776,99.04873,99.1097,99.17067,99.23164,99.23164,99.23164,99.23164,99.23164,99.23164
5,Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,Angola,AGO,37.76852024,38.07129638,38.37868168,38.59190992,38.80548145,39.01677494,39.22786505,39.43784401,39.64665694,39.85259547,40.05768983,40.26065289,40.45779572,40.64753807,40.83034296,41.00586762,41.00586762,41.00586762
7,Antigua and Barbuda,ATG,98.25376517,98.1372591,98.02075303,97.90424697,97.7877409,97.67123483,97.55472876,97.43822269,97.32171662,97.20521055,97.08870448,96.97219841,96.85569235,96.73918628,96.73918628,96.73918628,96.73918628,96.73918628
8,Argentina,ARG,99.01157595,99.0608209,99.10885498,99.15554035,99.20072729,99.24435417,99.28649895,99.32719197,99.36649133,99.40436848,99.44090538,99.47609017,99.50995527,99.50794272,99.63200261,99.62730019,99.62730019,99.62730019
9,Armenia,ARM,95.87336222,96.02985244,96.20384729,96.38417656,96.56483986,96.7458372,96.92710692,97.10877739,97.28629844,97.46094456,97.6376547,97.7658534,97.7174441,97.67005118,98.46097011,98.92365243,98.92365243,98.92365243
