,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,World,WLD,NaN,2.930843472,3.768080471,3.0603417019999997,4.513555405,3.430706003,3.6031953469999998,2.312863578,4.069597634,3.929630475,2.532179818,2.160665141,3.644645044,4.475557255,0.03613314,-1.081826441,3.51243325,2.2180824390000002,2.202863829,2.340561315,0.20049634600000002,0.155170614,-1.418180424,0.60559485,2.734088189,2.083738225,1.5134420730000002,1.761765541,2.828888248,1.975608225,1.240353267,-0.21807179100000001,0.215618322,0.06925951400000001,1.473774498,1.514069671,1.9011896209999999,2.246581018,1.114297998,1.88448646,3.0335460760000004,0.613781867,0.8633139129999999,1.622661396,3.160446455,2.558047166,3.0332715169999998,2.979459952,0.5685439,-2.9320100069999997,3.063339965,1.969066435,1.226060793,1.4109392809999999,1.645166017,1.626941218,1.293987963,NaN
1,Afghanistan,AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3431500389999997,-3.361110893,6.954473817999999,2.200612989,10.64918383,1.040489085,17.951089,5.425967847999999,2.87964757,10.75025221,0.512509233,-0.526844934,-1.628298146,-0.349412106,NaN
2,Albania,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.29059534800000003,3.6146555439999997,-2.74949638,-3.262522334,6.923617284,-11.1879053,-29.16327149,-6.635518685,10.27078613,8.96687739,14.00202422,9.780180454,-10.27846136,9.697045988,14.22231692,7.34863863,8.958087716,4.544405735,6.16998247,6.152274487000001,6.263275587000001,6.0982916089999994,6.703337826,4.560117915,4.051449403,4.226218994,2.8264099789999997,1.587602059,1.185969096,1.985307816,2.524705,3.535389162,NaN
3,Algeria,DZA,NaN,-15.7262892,-21.64509963,31.00794513,3.1638625539999996,3.422966539,-7.396121934,6.38817729,7.65083934,5.3664322239999995,5.828007274,-13.76222588,23.96858578,1.0061779229999999,4.566004262,2.140967344,5.35310442,2.283856964,6.083678663,4.3359176580000005,-2.216549966,-0.129456185,3.13164697,2.159856012,2.3898006769999998,0.611630511,-2.517517775,-3.509143504,-3.7117523539999997,1.6464153119999998,-1.746785531,-3.5885318560000004,-0.547389546,-4.232193259,-2.9125661210000002,1.8534237930000002,2.305087245,-0.508245296,3.544786287,1.7580111090000001,2.427875701,1.676475844,4.279453027,5.850520832999999,2.943232296,4.452752236,0.210971674,1.799196896,0.7139528009999999,-0.101599762,1.7636820180000001,0.9303551729999999,1.3211093059999999,0.696353667,1.7332809040000001,1.790253965,1.431403437,NaN
4,American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15585311400000001,0.28897999399999996,-0.155634548,-3.401960784,3.2789542910000002,-1.122713232,-2.869663016,1.5076154990000001,0.868398308,-4.236589223999999,-2.891893615,0.7081657140000001,1.0657425409999999,-2.728006298,NaN
5,Andorra,AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.603684765,2.788907252,2.672409324,1.010490232,-3.33802602,-0.18117565,-0.280692815,-1.4422154059999999,-3.0644489889999997,-1.330760035,-3.9487455519999997,-2.931372609,-2.595335898,-2.598351728,-2.0237865680000002,-1.001824036,1.325672934,0.97048769,0.801682525,-0.142614682,-1.366129581,-2.87054458,-4.412622893,-0.403571698,0.869722421,3.820477136,9.123624337,3.492427355,3.7303595310000004,1.9134518530000002,1.5178447069999998,2.354988636,7.366656546000001,3.3246735089999997,3.825117605,1.794873028,-2.0071775780000003,-9.874044945,-4.375954796,-5.344256802,-3.85184552,-0.039744005,2.392514348,4.298113762,2.404977175,2.192417797,NaN
6,Angola,AGO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.13681689,5.0411607510000005,2.8879966130000003,-2.259303046,-3.1194803739999997,-4.206512624,-9.878567961,-27.14594465,0.228039897,7.090915495,8.069843379,4.991744886,3.943625659,0.356499547,-0.065318099,0.892782766,-10.06165916,1.600823435,6.986761772,14.10725703,16.50538518,18.30014329,9.832743837999999,-1.17563581,-0.218978107,0.27379022199999997,1.478269453,3.106958772,1.2145300490000002,-0.46428231,-3.954820759,NaN
7,Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7444273839999997,7.779880179,8.288091498,4.3491517680000005,0.7683001509999999,6.553857125,11.58869584,9.098436312999999,13.07041693,8.141409738,6.44806295,5.9331391920000005,2.90507561,1.249331115,-0.497413796,3.005511334,4.027102125,-6.827837236000001,3.772942599,2.607066797,1.9612477819999998,1.198556698,4.45410479,-6.600061599999999,-0.391730945,4.810139797,4.581538524,5.224918786,11.42022306,7.968121904,-1.2160037590000001,-13.143487799999999,-8.258791785,-3.16146476,2.3750387809999998,-1.17311619,3.984750585,2.968827497,4.2573672789999994,NaN
8,Argentina,ARG,NaN,3.747272986,-2.410453735,-6.7716256360000004,8.464397201,8.934658915,-2.089312313,1.736490265,3.339587227,8.077918766,1.467827617,3.952346284,-0.07958247,1.056567923,3.7596418239999996,-1.6486575190000001,-3.536158716,5.337159335,-5.903559551,8.603164283,2.590354225,-7.134997708999999,-6.4343289829999994,2.250238253,0.619319826,-9.009513139,6.23805756,1.36853798,-3.994374792,-8.838132385,-3.789115675,11.09415299,10.40666248,4.491865975,4.46663129,-4.057600675,4.260870624,6.861143328,2.68214197,-4.457046577,-1.8850105169999998,-5.465113906,-11.87718049,7.643794185,7.8491061460000005,7.69268852,6.918027086,7.885851981,2.9951674219999997,-6.880148575,8.99143796,4.902125244,-2.0605746369999998,1.338452934,-3.514195982,1.615899299,-3.2032509989999998,NaN
9,Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.8708692,-40.74445044,-6.6383804,7.949829927000001,9.103492511,7.506971651000001,4.479543336,8.142264625,3.9576853130000003,6.570295524,10.23657283,13.81149513,14.64886278,11.10084075,14.60487652,14.06880742,14.73596617,7.8129186939999995,-13.56639792,2.600408784,4.762989356,6.964131302,2.886337179,3.146882343,2.820378822,-0.06947787700000001,NaN
