,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,World,WLD,3693.477543,3801.727589,3944.9797439999998,4065.709604,4249.21766,4394.995825,4553.35611,4658.669025,4848.258109,5038.7767380000005,5166.367625,5277.99553,5470.359732,5715.188814,5717.253890999999,5655.4031270000005,5854.045387,5983.892939,6115.709952,6258.851893999999,6271.400663,6281.132034,6192.054249,6229.553011,6399.874484,6533.231115,6632.1077829999995,6748.949973000001,6939.870225,7076.974872,7164.754361,7149.130053,7164.544887999999,7169.507016,7275.169381999999,7385.320516,7525.729463,7694.801072,7780.544087,7927.167386,8167.641662000001,8217.773165,8288.718343999999,8423.216177,8689.427414,8911.707065999999,9182.023337999999,9455.598046,9509.357272,9230.541965,9513.304845999999,9700.628139,9819.563737,9958.111819,10121.93929,10286.61729,10419.72488,NaN
1,Afghanistan,AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,364.570573,376.7587142,364.095436,389.4163578,397.9859047,440.3681553,444.95013789999996,524.8235331999999,553.3002893999999,569.2333877,630.4274126,633.6584113,630.320014,620.0565249,617.8899723999999,NaN
2,Albania,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2110.633218,2187.642806,2205.052944,2182.631918,2110.441428,2104.308584,2180.372091,2120.422839,2051.24357,2193.263825,1947.883545,1379.8169779999998,1288.258965,1420.573288,1547.9543529999999,1764.699296,1937.2900719999998,1738.1664600000001,1906.717261,2177.896633,2337.9423859999997,2547.377316,2663.140477,2827.455778,3001.408618,3189.395111,3383.893726,3610.727554,3775.3809880000003,3928.338638,4094.358832,4210.082199,4276.92155,4327.644518,4413.561583,4524.990993,4684.967034,NaN
3,Algeria,DZA,2466.038238,2078.221933,1628.388725,2133.318607,2200.813876,2276.146998,2107.800391,2242.450417,2414.016695,2543.563265,2691.802317,2321.350402,2877.745265,2906.700502,3039.420571,3104.493573,3270.680356,3345.378017,3548.900065,3702.77745,3620.703537,3616.016313,3729.2571780000003,3809.8037630000003,3900.8504799999996,3924.709271,3825.904018,3691.6475549999996,3554.62274,3613.146593,3550.032672,3422.638618,3403.9034520000005,3259.84368,3164.898577,3223.55756,3297.863375,3281.102139,3397.4101979999996,3457.1370460000003,3541.072037,3600.437254,3754.516275,3974.175032,4091.144235,4273.3127509999995,4282.328231,4359.3757479999995,4390.499632999999,4386.038896,4463.394675,4504.920098,4564.435017,4596.219627,4675.885024,4759.595242,4827.724251,NaN
4,American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10613.911540000001,10630.45365,10661.17354,10644.58107,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9711.112717,9779.883487000001,9884.111866,9614.472672,NaN
5,Andorra,AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42137.51899,41883.14121,43051.22318,44201.72808,44648.38222,43158.00761,43079.8158,42958.893860000004,42339.33407,41041.866780000004,40495.698019999996,38896.62594,37756.4209,36776.51496,35820.93175,35095.99254,34744.39245,35204.989460000004,35546.64955,35831.62082,35780.51967,35291.71141,34278.6471,32766.05967,32633.82513,32917.64882,34175.26007,37293.28241,38595.723210000004,40035.48245,40801.54213,41420.84618,42396.3024,45519.49238,47032.86689,48831.92936,49708.40049,48710.664619999996,43900.9517,41979.8659,39736.354060000005,38205.771089999995,38190.58659,39104.30185,40785.049230000004,41765.92035,42681.60382,NaN
6,Angola,AGO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2574.051243,2570.529506,2700.114031,2778.093232,2715.327687,2630.623573,2519.96606,2271.0295,1654.5370890000002,1658.310094,1775.899461,1919.2117660000001,2015.0139219999999,2094.478528,2101.945334,2100.5723829999997,2119.325932,1906.0865800000001,1936.599661,2071.905265,2364.194266,2754.413637,3258.475279,3578.8728060000003,3536.798296,3529.053482,3538.715685,3591.027438,3702.5991799999997,3747.56836,3730.1690630000003,3582.6475619999997,NaN
7,Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4429.542553,4595.403557,4952.9204469999995,5363.4230259999995,5596.686433,5639.685783,6009.302732,6705.702547999999,7315.816623000001,8272.024358,8945.483755,9522.294178,10087.26515,10380.30783,10509.992240000001,10457.714090000001,10772.02187,11205.82219,10440.706890000001,10834.628770000001,11117.09478,11335.12856,11470.9865,11981.91626,11191.1024,11147.26339,11683.46234,12218.74467,12857.16416,14325.48099,15466.952769999998,15278.87405,13270.6971,12174.69786,11789.799079999999,12069.81138,11928.21847,12403.52822,12771.76758,13315.50863,NaN
8,Argentina,ARG,5605.191722,5815.2335570000005,5675.060043,5290.766222,5738.59769,6251.32182,6120.712184,6226.997754999999,6434.953777000001,6954.764115000001,7056.848064,7335.759136,7329.921158,7407.366754000001,7685.857212000001,7559.143749,7291.840429000001,7681.017570999999,7227.5641239999995,7849.363340000001,8052.689655,7478.130431999999,6996.962918000001,7154.411255,7198.719942000001,6550.150323,6958.75247,7053.985640999999,6772.223017,6173.684981,5939.756915999999,6598.722635,7285.429428,7612.681153,7952.711552,7630.022273999999,7955.127651999999,8500.940362000001,8728.947651,8339.894389000001,8182.686502,7735.493364,6816.734855,7337.792038,7913.743124,8522.522732,9112.113163,9830.68092,10125.12627,9428.502541,10276.2605,10780.01566,10557.885390000001,10699.19772,10323.20694,10490.01957,10153.99791,NaN
9,Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1796.936432,1601.5938230000002,949.0332212999999,886.0327858999999,956.4708855,1043.543141,1121.881629,1172.136802,1267.575283,1317.741923,1404.3214619999999,1548.075851,1761.888272,2019.9848670000001,2244.220171,2571.985756,2933.833478,3366.162187,3629.1577020000004,3136.811727,3218.381655,3371.6728310000003,3606.4805539999998,3710.575743,3827.3431950000004,3935.288772,3932.5546170000002,NaN
