,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,World,WLD,62.82597243,61.26852572,63.65319368,62.70061396,62.42013256,62.4078171,63.28406112,64.32180573,64.86017472,66.17069053,64.75440849,65.17782134,66.14087504,67.01070131,67.30539108,67.75752396,68.40221608,69.02157941,70.31150354,71.07203126,71.37788025,69.02450016,73.50659235,74.06288106,74.10136309,77.72670694,77.30961746,NaN
1,Afghanistan,AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,12.54386347,18.91622285,32.5,31.84515663,32.4,33.38011039,63.8,58.42366743,87.8,64.2,78.96107435,NaN
2,Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
3,Algeria,DZA,96.39231475,96.55789324,96.72800162,96.89752011,97.05944361,97.20635816,97.33117134,97.43048754,97.50512573,97.55290584,97.57024691,97.55850318,97.52262352,97.47133624,97.41508731,97.36528677,97.33402237,97.33483007,97.91063487,97.46213388,97.59427076,97.76635687,97.85878421,98.18665651,98.42962343,98.68768253,98.95537236,NaN
4,American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
6,Angola,AGO,7.518615066,8.330743085,9.121241095,9.887080945,10.62208304,11.3215701,11.98020143,12.59309499,13.15427969,13.65746213,14.09835409,4,14.81210648,15.09558998,15.33659695,15.54392421,15.72091824,8.8,16.0093751,16.1241288,16.20995753,5.5,16.2842982,16.27223675,3,7,15.98420912,NaN
7,Antigua and Barbuda,ATG,76.96147746,77.77213417,78.7204501,79.65228322,80.56384326,81.4503978,82.30838245,83.13292129,83.92071118,84.66785919,85.37281108,86.04838225,86.74865413,87.42893769,88.09941031,89.00451736,89.43456862,90.1105124,90.80229977,91.50789833,92.2216022,92.68294474,93.66651749,94.39272743,95.11743986,95.83648999,96.54689135,NaN
8,Argentina,ARG,90.64082336,91.12367249,91.60601807,92.08530426,92.55847168,93.02246094,93.47421265,93.91067505,94.3287735,94.72546387,95.09920502,95.51106347,95.79750824,96.13420868,96.47068024,96.81299591,97.16722107,97.53941345,97.93412781,98.36336517,98.82,99.21616364,99.58441162,99.83712769,99.95924377,99.99520874,100,NaN
9,Armenia,ARM,95.78970448,96.18639645,96.57011192,96.94265163,97.29617247,97.62408189,97.92002338,98.17779839,98.39180728,98.55868406,98.6,100,95.68155465,98.83748803,98.86082475,99.7,98.93645812,99.00966737,99.11652096,99.25750737,99.8,99.61313989,99.78736307,99.91388004,99.97781595,100,100,NaN
10,Aruba,ABW,76.75690793,77.43146737,78.23446211,79.0683826,79.87819756,80.65717794,81.40079695,82.10271668,82.75881396,83.36614511,84.35836284,84.44182124,84.93015435,85.40189163,85.86461526,86.32564178,86.79247161,87.28009433,87.79542973,88.33014486,88.3834352,89.45592009,90.04422923,90.64546067,91.2520467,91.85620644,92.45284437,NaN
11,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
12,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
