,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,World,WLD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.079311662,2.9434019958,2.8074923296,2.6715826633999997,2.5356729972,2.399763331,2.6383955491999997,2.8770277674,3.1156599856,3.3542922038,3.592924422,3.699472846,3.80602127,3.912569694,4.019118118,4.125666542,4.0295706440000005,3.933474746,3.837378848,3.74128295,3.645187052,3.427520838,3.3529702339090908,3.278419629818182,3.203869025727273,3.1293184216363636,3.0547678175454545,2.9802172134545457,2.9056666093636365,2.8311160052727273,2.7565654011818186,2.6820147970909094,2.607464193,2.7113324296666668,2.8152006663333338,2.9190689030000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Afghanistan,AFG,0.170626998,0.1734642983,0.1763015986,0.1791388989,0.1819761992,0.1848134995,0.1876507998,0.1904881001,0.1933254004,0.1961627007,0.199000001,0.205963636,0.212927271,0.219890906,0.22685454100000002,0.23381817600000002,0.240781811,0.247745446,0.254709081,0.261672716,0.26863635100000005,0.275599986,0.281183322,0.286766658,0.292349994,0.29793333,0.303516666,0.309100002,0.28933333366666664,0.26956666533333334,0.249799997,0.26345454327272727,0.27710908954545455,0.2907636358181818,0.3044181820909091,0.31807272836363637,0.33172727463636364,0.3453818209090909,0.3590363671818182,0.37269091345454547,0.38634545972727274,0.400000006,0.40000000300000005,0.4,0.405,0.41000000000000003,0.415,0.42,0.42,0.4,0.4,0.45,0.5,NaN,NaN,NaN,NaN,NaN
2,Albania,ALB,5.102675915,5.0611271145,5.019578314,4.9780295135,4.936480713,4.8949319125,4.8533831119999995,4.8118343115,4.770285511,4.7287367105,4.6871879100000005,4.6456391095,4.604090309,4.5625415085,4.520992708,4.4794439075,4.437895107,4.3963463065,4.354797506000001,4.3132487055,4.271699905,4.187099934,4.160699844,4.086200237,4.138999939,4.138800144,4.069699764,3.970000029,3.935499907,4.132100105,4.02489996,3.998699904,4.013400078,3.8313999180000002,3.017100096,3.1900000569999998,3.140000105,3.049999952,3.049999952,3.029999971,3.2599999910000004,3.2066666290000003,3.153333267,3.099999905,3.0499999525,3.0,2.9692,2.9,2.8499999999999996,2.8,2.615,2.43,2.6,NaN,NaN,NaN,NaN,NaN
3,Algeria,DZA,3.187407494,3.1529167417,3.1184259894,3.0839352371,3.0494444848,3.0149537325,2.9804629802,2.9459722279,2.9114814756,2.8769907233,2.842499971,2.8203687216875,2.798237472375,2.7761062230625,2.75397497375,2.7318437244375,2.709712475125,2.6875812258125,2.6654499764999997,2.6433187271875,2.621187477875,2.5990562285625,2.5769249792499997,2.5547937299375,2.532662480625,2.5105312313124997,2.488399982,2.5586999655,2.6289999490000002,2.564399958,2.499300003,2.400274992,2.301249981,2.20222497,2.103199959,2.1023999454999998,2.101599932,2.1007999185,2.099999905,2.0333332541666667,1.966666603333333,1.8999999525,1.8333333016666666,1.7666666508333333,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Andorra,AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.180000067,3.0,3.089999914,3.200000048,3.200000048,2.589999914,2.944999933,3.299999952,2.999999976,2.7,2.6,2.6,2.55,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Angola,AGO,2.061461687,2.1274155139,2.1933693408,2.2593231677000003,2.3252769946000003,2.3912308215,2.4571846484,2.5231384753,2.5890923022,2.6550461291000005,2.7209999560000004,2.6495149611000004,2.5780299662000004,2.5065449713000003,2.4350599764000003,2.3635749815000002,2.2920899866,2.2206049917,2.1491199968000005,2.0776350019,2.0061500070000005,1.9346650121000004,1.8631800172000004,1.7916950223000003,1.7202100274000003,1.6487250325000002,1.5772400376000002,1.5057550427000002,1.4342700478000001,1.3627850529,1.291300058,1.2585467208,1.2257933836000001,1.1930400464,1.1602867092,1.127533372,1.0947800348,1.0620266976000001,1.0292733604,0.9965200232,0.963766686,0.9310133488000001,0.8982600116000001,0.8655066744000001,0.8327533372000001,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Antigua and Barbuda,ATG,7.706421852,7.5887796878,7.4711375236,7.3534953594,7.2358531952,7.1182110309999995,7.0005688668,6.8829267026,6.7652845383999995,6.6476423742,6.53000021,6.53350019475,6.5370001795,6.54050016425,6.5440001489999995,6.54750013375,6.5510001185,6.55450010325,6.558000088,6.5615000727499995,6.5650000575,6.56850004225,6.572000027,6.57550001175,6.5789999964999994,6.58249998125,6.585999966,6.58949995075,6.5929999355,6.596499920249999,6.599999905,6.434933344666667,6.269866784333333,6.104800224,5.363200187333333,4.621600150666667,3.8800001139999996,3.6240000911999997,3.3680000683999998,3.1120000456,2.8560000228,2.6,2.3,2.5,2.4,2.4,2.4,2.0,1.7,2.2,2.2,2.1,NaN,NaN,NaN,NaN,NaN,NaN
8,Argentina,ARG,6.352250576,6.2756055355,6.198960495000001,6.1223154545,6.045670414,5.9690253735,5.892380333,5.8157352925,5.739090252,5.6624452115,5.585800171,5.5362251521,5.4866501331999995,5.4370751143,5.3875000954,5.3379250764999995,5.2883500576,5.2387750387,5.1892000198,5.1396250009,5.090049982,5.0404749631,4.990899944200001,4.9413249253,4.8917499064,4.842174887500001,4.7925998686,4.7430248497,4.6934498308000006,4.6438748119,4.594299793,4.596199830333333,4.598099867666667,4.599999905,4.163333257333333,3.7266666096666667,3.289999962,3.4924999715,3.6949999809999996,3.8974999904999996,4.1,4.08,4.06,4.04,4.02,4.0,4.1,4.2,4.3,4.4,4.5,4.5,4.7,NaN,NaN,NaN,NaN,NaN
9,Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.395400047,8.578399658,8.682800293,8.548100471,8.660099983,8.699199677000001,9.024200439,8.996600151,9.190400124,9.03579998,9.094799995,8.529299736,8.367699623,8.214699745,7.765999794,7.639999867,7.1300001139999996,6.75,6.659999847000001,6.1999998089999995,5.46999979,4.25,4.3250000475,4.400000095,4.4500000475,4.5,4.4,4.1,3.9,3.7,3.825,3.95,3.9,NaN,NaN,NaN,NaN,NaN
10,Aruba,ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Australia,AUS,11.19999981,11.30000019,11.39999962,11.69999981,11.80000019,11.89999962,11.80000019,11.80000019,11.80000019,11.69999981,11.69999981,11.60000038,11.80000019,11.80000019,12.0,11.89999962,11.89999962,12.10000038,12.10000038,12.19999981,12.30000019,12.19999981,12.10000038,11.89999962,11.69999981,10.89999962,10.69999981,10.5,10.150000095500001,9.800000191,9.5,9.199999809,8.899999618999999,8.899999618999999,8.699999809,8.699999809,8.5,8.300000191,8.199999809,7.900000095,7.8000001910000005,7.599999905,4.0,3.95,3.9,4.0,3.97,3.9133333333333336,3.8566666666666665,3.8,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Austria,AUT,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.840000152,10.880000114,10.920000076,10.960000038,11.0,11.039999962,11.079999924,11.119999886,11.159999848,11.19999981,11.139999772,11.079999734,11.019999696,10.959999658,10.89999962,10.80000019,10.69999981,10.60000038,10.39999962,10.19999981,9.899999618999999,9.699999809,9.399999618999999,9.5,9.399999618999999,9.300000191,9.199999809,9.0,8.899999618999999,8.699999809,8.600000382000001,8.399999618999999,8.300000191,8.0000000955,7.7,7.6496,7.8,7.7,7.7,7.63,7.6,NaN,NaN,NaN,NaN,NaN,NaN
13,Azerbaijan,AZE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.745200157000001,9.7755201338,9.8058401106,9.836160087400001,9.866480064200001,9.896800041,9.841099739,9.882100105,9.966300011,10.20440006,10.09920025,10.02089977,10.54279995,10.48750019,10.07059956,10.02000046,9.81000042,9.609999657000001,9.06000042,8.899999618999999,8.680000305,8.510000229,8.40500021,8.300000191,8.250000095499999,8.2,8.1,7.9,7.7,7.5,6.025,4.55,4.7,NaN,NaN,NaN,NaN,NaN
14,"Bahamas, The",BHS,5.7256636620000005,5.6624572754,5.5992508888,5.5360445022,5.4728381156,5.409631729000001,5.346425342400001,5.283218955800001,5.220012569200001,5.1568061826000005,5.093599796,5.024719810200001,4.9558398244,4.8869598386,4.8180798528,4.749199867,4.6803198812,4.6114398954,4.5425599096000004,4.4736799238,4.404799938,4.3643199442,4.3238399504,4.2833599566,4.2428799628,4.202399969,4.1619199752,4.1214399814,4.0809599876,4.0404799938,4.0,3.9612999756666665,3.9225999513333334,3.883899927,3.7419499634999998,3.6,3.9400000569999998,3.83000004275,3.7200000285,3.6100000142499997,3.5,3.4,3.400000095,3.4,3.4,3.3,3.2,3.2,3.1,3.1,3.1,2.9,NaN,NaN,NaN,NaN,NaN,NaN
15,Bahrain,BHR,4.711409569,4.6745585919999995,4.637707615,4.600856638,4.5640056609999995,4.527154683999999,4.490303707,4.4534527299999995,4.416601752999999,4.379750776,4.342899799,4.2400498149,4.137199830799999,4.0343498467,3.9314998626,3.8286498785,3.7257998943999997,3.6229499103,3.5200999262,3.4172499421,3.314399958,3.317188846,3.319977734,3.322766622,3.32555551,3.328344398,3.331133286,3.333922174,3.336711062,3.33949995,3.284562468125,3.22962498625,3.174687504375,3.1197500225,3.064812540625,3.00987505875,2.9549375768750004,2.900000095,2.8833334045,2.866666714,2.8500000235,2.833333333,2.8166666425,2.799999952,2.7999999759999996,2.8,2.74,1.97,1.9,1.8,1.9000000000000001,2.0,2.1,NaN,NaN,NaN,NaN,NaN
16,Bangladesh,BGD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15510000300000001,0.1611700029,0.1672400028,0.17331000270000002,0.1793800026,0.1854500025,0.1915200024,0.1975900023,0.2036600022,0.20973000209999998,0.215800002,0.22519999699999999,0.24085000125,0.25650000549999996,0.27215000975,0.287800014,0.29108001,0.294360006,0.29764000199999996,0.30091999799999997,0.304199994,0.308099985,0.30703332033333336,0.3059666556666667,0.30489999100000004,0.3039199952,0.3029399994,0.3019600036,0.3009800078,0.300000012,0.300000006,0.3,0.34,0.32666666666666666,0.31333333333333335,0.3,0.35,0.39999999999999997,0.44999999999999996,0.5,0.5499999999999999,0.6,NaN,NaN,NaN,NaN,NaN,NaN
17,Barbados,BRB,5.929779053,6.3589611057,6.7881431584,7.2173252111,7.6465072638,8.0756893165,8.5048713692,8.9340534219,9.3632354746,9.7924175273,10.22159958,10.0529096614,9.8842197428,9.715529824199999,9.546839905599999,9.378149987,9.209460068399999,9.0407701498,8.8720802312,8.7033903126,8.534700394,8.521230316499999,8.507760239,8.4942901615,8.480820084,8.467350006499998,8.453879929,8.4404098515,8.426939774,8.413469696499998,8.399999618999999,6.022533099333332,3.6450665796666657,1.26760006,4.333800030000001,7.4,7.559999942999999,7.522857093999999,7.485714245,7.448571395999999,7.411428547,7.374285698,7.337142849,7.3,7.3,6.7,6.6,7.1,7.6,6.8,6.6,6.4,6.2,NaN,NaN,NaN,NaN,NaN
18,Belarus,BLR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.54609966,12.651139638,12.756179616,12.861219594,12.966259572,13.07129955,13.26049995,13.45629978,13.37290001,13.579500199999998,13.22640038,13.20470047,12.69069958,12.4762001,12.46389961,12.38000011,12.27000046,12.35999966,12.42000008,12.64000034,12.60999966,12.57999992,11.940000055,11.30000019,11.200000095,11.1,11.2,11.2,11.149999999999999,11.1,11.2,11.3,NaN,NaN,NaN,NaN,NaN,NaN
19,Belgium,BEL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.300000191,8.4100001338,8.5200000766,8.6300000194,8.7399999622,8.849999905,8.959999847799999,9.069999790599999,9.179999733399999,9.289999676199999,9.399999618999999,9.339999771399999,9.2799999238,9.2200000762,9.160000228600001,9.100000381000001,8.880000304800001,8.660000228600001,8.4400001524,8.2200000762,8.0,7.900000095,7.6999998089999995,7.6999998089999995,7.599999905,7.466666539666666,7.333333174333333,7.1999998089999995,7.1999998089999995,7.099999905,7.099999905,6.900000095,6.900000095,6.36666673,5.833333365,5.3,5.3,5.3,5.949999999999999,6.6,6.5,6.53,6.5,NaN,NaN,NaN,NaN,NaN
20,Belize,BLZ,4.667765141,4.7411286358,4.814492130600001,4.8878556254,4.9612191202,5.034582615,5.1079461098,5.1813096046,5.2546730994,5.3280365942,5.401400089,5.27111259075,5.1408250925,5.01053759425,4.880250096,4.74996259775,4.6196750995,4.48938760125,4.359100102999999,4.22881260475,4.0985251065,3.96823760825,3.8379501099999995,3.70766261175,3.5773751134999996,3.4470876152499996,3.3168001169999997,3.1626000997499997,3.0084000824999997,2.85420006525,2.700000048,2.7333333493333334,2.7666666506666666,2.799999952,2.649999976,2.5,2.130000114,2.0725000854999998,2.015000057,1.9575000285,1.9,1.699999984,1.499999968,1.299999952,1.3,1.2,1.3,1.2,1.2,1.1,1.2,1.1,1.1,NaN,NaN,NaN,NaN,NaN
21,Benin,BEN,1.225748777,1.2186638948,1.2115790126,1.2044941304,1.1974092482,1.190324366,1.1832394838,1.1761546016,1.1690697194000002,1.1619848372000001,1.154899955,1.1858999612,1.2168999674,1.2478999736,1.2788999798,1.309899986,1.3408999922,1.3718999984,1.4029000046,1.4339000108,1.464900017,1.131199956,0.9382999689999999,0.7453999819999999,0.5524999949999999,0.35960000799999997,0.4544600014,0.5493199948,0.6441799882,0.7390399816,0.833899975,0.500500023,0.223100007,0.23909999399999998,0.23360000600000003,0.2578181872727273,0.28203636854545455,0.30625454981818184,0.33047273109090913,0.35469091236363637,0.37890909363636366,0.40312727490909095,0.4273454561818182,0.4515636374545454,0.4757818187272727,0.5,0.5,0.5,0.5,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,Bermuda,BMU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3000001910000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Bhutan,BTN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7058999540000002,1.4910999687500002,1.2762999835,1.06149999825,0.846700013,1.03872500375,1.2307499945,1.42277498525,1.614799976,1.6118399856,1.6088799952000001,1.6059200048,1.6029600144,1.600000024,1.6000000120000002,1.6,1.6,1.625,1.65,1.675,1.7,1.72,1.74,1.76,1.78,1.8,1.8,NaN,NaN,NaN,NaN,NaN
24,Bolivia,BOL,1.8454192880000002,1.8930473688000002,1.9406754496,1.9883035304,2.0359316112,2.083559692,2.1311877727999997,2.1788158535999997,2.2264439343999998,2.2740720152,2.321700096,2.2691200732,2.2165400504,2.1639600276,2.1113800048,2.058799982,2.0093999862,1.9599999904,1.9105999946,1.8611999988,1.811800003,1.7624000072000001,1.7130000114000001,1.6636000156000001,1.6142000198000002,1.5648000240000002,1.5154000282000002,1.4660000324,1.4166000366,1.3672000408,1.317800045,1.4110000130000002,1.4054999945,1.399999976,1.4899999696666666,1.5799999633333333,1.669999957,1.5742856774285714,1.4785713978571429,1.3828571182857141,1.2871428387142858,1.191428559142857,1.0957142795714285,1.0,1.0,1.05,1.1,1.1,1.1,1.1,1.1,1.1,1.1,NaN,NaN,NaN,NaN,NaN
25,Bosnia and Herzegovina,BIH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.831099987,4.922800064,4.917900085,4.904699802,4.8137001989999995,4.718100071,4.7420001030000005,4.5935001369999995,4.578199863,4.4983000760000005,4.45909977,4.377999783,4.298285518714286,4.218571254428571,4.138856990142857,4.059142725857143,3.9794284615714286,3.8997141972857143,3.819999933,3.799999952,3.24000001,3.220000029,3.159999967,3.099999905,3.0499999525,3.0,3.1,3.2,3.3,3.4,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,Botswana,BWA,2.122916698,2.1349258657,2.1469350334,2.1589442011,2.1709533688000002,2.1829625365,2.1949717042,2.2069808719,2.2189900396,2.2309992073,2.243008375,2.2550175427,2.2670267104,2.2790358781,2.2910450458000002,2.3030542135000003,2.3150633812,2.3270725489,2.3390817166,2.3510908843,2.363100052,2.284310043,2.205520034,2.126730025,2.047940016,1.969150007,1.8903599979999999,1.8115699889999999,1.7327799799999999,1.653989971,1.575199962,1.6232615033846154,1.6713230447692307,1.7193845861538462,1.7674461275384616,1.815507668923077,1.8635692103076924,1.9116307516923077,1.9596922930769232,2.0077538344615387,2.055815375846154,2.103876917230769,2.1519384586153847,2.2,2.25,2.3,2.35,2.4,1.8,1.8,1.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,Brazil,BRA,3.20179534,3.2507958177,3.2997962953999997,3.3487967730999997,3.3977972507999996,3.4467977285,3.4957982062,3.5447986839,3.5937991616,3.6427996392999997,3.6918001169999997,3.9524600977999995,4.213120078599999,4.473780059399999,4.7344400402,4.995100021,4.875533361916666,4.755966702833333,4.63640004375,4.516833384666667,4.397266725583333,4.2777000665,4.158133407416666,4.038566748333333,3.91900008925,3.7994334301666663,3.679866771083333,3.5603001119999997,3.488633394333333,3.416966676666666,3.3452999589999997,3.396866639333333,3.4484333196666666,3.5,3.369999965,3.23999993,3.109999895,3.0249999125,2.93999993,2.8549999475,2.7699999650000002,2.6849999825,2.6,2.533333333333333,2.466666666666667,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,NaN,NaN,NaN,NaN,NaN
28,British Virgin Islands,VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Brunei Darussalam,BRN,4.902439117,4.7629652019,4.6234912868,4.4840173717,4.3445434566,4.2050695415,4.0655956264,3.9261217113,3.7866477962,3.6471738811,3.507699966,3.4557181484545456,3.403736330909091,3.3517545133636366,3.299772695818182,3.2477908782727276,3.1958090607272727,3.143827243181818,3.0918454256363637,3.039863608090909,2.9878817905454547,2.935899973,2.9939999580000003,2.9721110661666668,2.9502221743333337,2.9283332825,2.906444390666667,2.8845554988333335,2.862666607,2.840777715166667,2.8188888233333333,2.7969999315000003,2.7751110396666667,2.753222147833333,2.731333256,2.7094443641666666,2.687555472333333,2.6656665805,2.6437776886666664,2.6218887968333333,2.599999905,2.6499999525,2.7,2.6500000000000004,2.6,3.0,2.79,2.745,2.7,2.6,2.6950000000000003,2.79,2.8,NaN,NaN,NaN,NaN,NaN
30,Bulgaria,BGR,6.213677406,6.34552354785,6.477369689700001,6.60921583155,6.7410619734,6.8729081152500004,7.0047542571,7.13660039895,7.268446540799999,7.40029268265,7.5321388245,7.66398496635,7.7958311082,7.9276772500499995,8.0595233919,8.191369533749999,8.3232156756,8.45506181745,8.5869079593,8.71875410115,8.850600242999999,8.859000206000001,8.886699677000001,8.876799583,8.963000297999999,9.11400032,9.452099800000001,9.564200401,9.560199738,9.702099800000001,9.790800095,9.768199921,10.20639992,10.49419975,10.19610024,10.36999989,10.47000027,10.27999973,8.409999847,7.489999771,7.409999847000001,7.1999998089999995,6.75,6.3000001910000005,6.3500000955,6.4,6.2,6.4011,6.5,6.6,6.5,6.4,NaN,NaN,NaN,NaN,NaN,NaN
31,Burkina Faso,BFA,0.523758113,0.528532302,0.5333064909999999,0.53808068,0.5428548689999999,0.547629058,0.552403247,0.5571774359999999,0.561951625,0.5667258139999999,0.5715000029999999,0.5575473713157894,0.5435947396315789,0.5296421079473683,0.5156894762631579,0.5017368445789473,0.48778421289473683,0.47383158121052626,0.45987894952631575,0.44592631784210524,0.4319736861578947,0.4180210544736842,0.4040684227894737,0.3901157911052632,0.3761631594210526,0.36221052773684215,0.3482578960526316,0.3343052643684211,0.32035263268421055,0.30640000100000003,0.299299985,0.4994399784,0.6995799718,0.8997199652000001,1.0998599586000002,1.299999952,1.419999957,1.3679999613,1.3159999655999999,1.2639999699,1.2119999742,1.1599999785,1.1079999828,1.0559999870999999,1.0039999914,0.9519999957,0.9,0.775,0.65,0.525,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,Burundi,BDI,1.122407317,1.1382265805,1.1540458439999999,1.1698651075,1.185684371,1.2015036344999999,1.217322898,1.2331421615,1.248961425,1.2647806885,1.280599952,1.2491199734,1.2176399948,1.1861600162,1.1546800376,1.123200059,1.0828364167272726,1.0424727744545454,1.0021091321818183,0.9617454899090909,0.9213818476363637,0.8810182053636364,0.8406545630909091,0.8002909208181819,0.7599272785454546,0.7195636362727273,0.6791999940000001,0.675979996,0.6727599980000001,0.66954,0.6663200020000001,0.663100004,0.6655600037333333,0.6680200034666667,0.6704800032,0.6729400029333333,0.6754000026666667,0.6778600024,0.6803200021333333,0.6827800018666667,0.6852400016,0.6877000013333333,0.6901600010666666,0.6926200008,0.6950800005333333,0.6975400002666666,0.7,0.94,1.18,1.42,1.66,1.9,NaN,NaN,NaN,NaN,NaN,NaN
