,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,World,WLD,70.23728504,70.85989823,72.07881131,72.33464585,71.88300159,72.39334627,72.83891927,73.69937616,73.82704956,74.43109808,73.84717995,73.95768795,74.34581123,74.28304178,72.58033918,69.56576833,72.35621516,72.6175448,72.63300443,74.25237686,72.99830537,71.80160593,72.60590582,74.3314803,75.18804616,75.50427387,77.37884143,78.62541212,78.46534457,78.92413046,78.97479847,79.16983966,78.20757003,77.08536255,76.80111562,76.23888624,75.88501992,76.69514131,77.98236528,81.45730419,80.2769282,79.78472689,79.40954791,78.66270021,77.578302,76.47770095,75.51907902,74.19912859,72.44864345,71.22158551,69.46077254,68.35657282,67.56484051,67.298138,67.66977692,68.40783664,68.91454305
1,Afghanistan,AFG,46.49298597,45.50561798,35.31409168,35.37803138,30.31609195,41.43884892,31.2849162,33.68319605,18.74208057,29.07649846,33.71280633,42.71271271,35.24140204,29.77436233,24.15658209,29.40127457,43.16867802,35.59049234,27.06943185,18.15224762,19.471896,17.04389634,57.71396461,74.36959184,63.51403005,56.99077349,48.23444818,50.34209462,50.86737187,55.86738159,60.95842941,80.07347294,85.16068325,5.368314708,34.50909583,17.06358447,39.14660633,55.79647663,54.89227367,36.10180297,19.68786619,14.90522154,9.416214848,12.2798593,9.027660461,9.277662406,9.689593003,5.97832864,6.954890439,8.091266129,8.43117574,7.093370082,1.137378254,2.839188197,4.34190695,7.663515789,3.85443749
2,Albania,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.05185453,58.09936067,58.95103633,57.24758911,48.14954101,53.34014512,44.70662248,50.80387923,49.30544507,60.38776956,78.97131198,71.85075968,76.28389417,87.12034004,81.42577691,88.58107815,91.70928086,96.04230966,96.4550422,95.46612974,93.26359933,94.70889888,94.63988913,91.14473102,92.61781192,93.67582478,88.72383223,79.55331344,79.98648214,76.24752817,75.23824385,75.6623955,74.43951813,73.97479496,72.9437295,77.66171883
3,Algeria,DZA,94.34106551,94.04500549,93.780756484,93.516507478,93.252258472,92.988009466,92.72376046,89.47732301,85.02287503,82.3706572,82.03898051,73.56436457,78.6104106,89.88429191,83.23596273,87.67986109,93.10319605,93.90884591,89.18165004,94.73666067,94.61521965,90.58642405,94.2200511,88.87797075,91.59828803,89.61783251,86.60038773,86.06741992,85.01052405,85.13505529,84.22721817,86.68260291,84.59884624,84.43387909,85.78001822,84.71252267,79.31723691,85.42262643,84.80272634,83.18765521,84.15507575,83.97293818,84.13206196,86.37264395,89.58712891,84.31226144,87.642965,85.79594536,86.37873967,84.66172804,82.14985848,81.45113163,80.35350695,80.2873573,77.84590999,79.16946134,77.7343488
4,American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.53779282,90.57167273,21.04913462,73.59457807,84.52626976,54.13642337,12.92631404,45.18317827,77.98380719,49.77103119,45.68662188,43.81680821,58.32441239,25.73349607,27.86670952,44.90738226,53.59955991
5,Andorra,AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Angola,AGO,87.75344688,87.43455497,87.81313473,88.31804281,90.39686428,89.14141414,89.19655016,88.8794926,89.77993286,89.72156715,90.80330552,89.39936863,89.86712352,89.07619707,92.09123329,90.7427534571429,89.3942736242857,88.0457937914286,86.6973139585714,85.3488341257143,84.0003542928571,82.65187446,81.11752783,83.46051956,91.58809135,86.58585167,84.29386145,85.61382494,78.76951546,80.59691449,83.33203916,89.68171628,88.00273823,92.71938037,92.23034174,89.31999397,85.63471664,84.43326012,93.82538093,90.09470704,53.08485285,60.90653414,62.34603322,57.51814217,48.65179551,57.75834849,53.60425869,55.27013719,51.43846108,45.7478513,44.20524999,47.93458851,35.01591669,37.27556109,37.52840071,40.38181522,30.95311426
7,Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.92488474,96.82860968,99.16068615,89.63605126,70.7963754,50.27928463,91.42530414,48.62328127,97.19250647,57.33026571,67.3473276,78.49397266,76.95339863,78.07959915,82.5564798,85.86454979,87.8112388
8,Argentina,ARG,80.91928459,82.37917445,78.90368179,80.14511873,72.83048322,70.40884718,71.38552326,77.12373668,73.29988648,75.73042776,76.94920227,79.78779658,77.89355431,69.36675316,61.67022846,54.56157356,61.3078532,62.13135437,63.94730511,62.61833511,51.04182113,43.04166717,49.35022341,45.14567939,47.27582209,46.51365821,52.86920835,54.92376656,54.86644302,51.63577114,56.29227956,58.50856941,56.64060583,53.56227451,52.1563063,45.42174619,43.83494642,40.33011266,42.16039472,50.97584017,48.95086983,47.98173915,52.00612622,52.51886779,48.51488347,47.46669201,44.69560761,41.56973301,41.78948813,43.3231195,39.00510332,38.89839926,38.54910339,36.16332381,35.74590207,36.71146607,39.5513265
9,Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.87258651,3.869654215,6.692441195,6.232548992,8.311156242,33.96609329,43.38691977,56.67119324,54.13984272,63.13899584,72.65105374,75.70136749,72.26912753,75.17181253,73.13153973,59.65682779,58.80935299,55.8947309,47.19803812,51.81375465,49.46017258,40.39468777,37.51509986,37.66117567,39.0260154
10,Aruba,ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.14335411,52.6389352,62.97505197,52.11339997,61.27097406,38.49430527,32.48864921,43.44055712,48.75394205,44.06342676,50.51579216,45.80658972,24.82858563,24.59511871,19.38469534,13.67777268,17.42527232,19.01917052,19.96262212,45.16344771,45.5500424,53.45679192
11,Australia,AUS,78.84225617,76.26683772,78.34603298,75.60465703,73.95291036,73.67378309,76.97744124,71.50340642,77.73927861,77.56323102,76.48576974,76.89628927,80.2756808,80.86076515,72.43927461,72.14985642,76.0948729,74.8746259,75.69116282,73.37967163,71.10579626,73.26563996,71.78506328,75.09366948,74.46533162,74.41921416,74.20478091,77.57614015,78.80979465,76.43452282,77.34835814,78.65510896,77.49916638,75.57647957,73.89399243,73.96469754,70.66669916,70.1162561,73.65270371,72.96559142,72.56036577,72.31422819,72.10661409,71.2874796,67.86532255,65.89801144,64.956076,63.918296,63.9690986,56.36163172,53.93148081,52.78056804,51.75132369,46.25090912,47.70523654,48.07332664,49.68585964
12,Austria,AUT,74.93967289,76.025,77.7055419,78.24245633,78.54611161,77.6573076,77.69523357,76.08575533,77.23503694,79.22799453,79.24740242,79.95890627,81.36227545,81.0723759,76.4714106,74.0490324,75.53186482,77.01865889,78.17235159,77.06886967,77.39186144,75.51145443,75.64284618,76.18603023,76.79071807,78.03783878,81.51345386,83.26456244,83.18314929,84.11716729,84.73387417,85.51582457,85.35810584,90.23877317,89.20765804,89.26853288,88.46153104,87.8480298,90.69596799,91.29073137,90.95267915,89.54173279,89.10516533,88.64625848,87.73078641,86.0689768,86.01962976,84.98608529,83.58590034,83.82038172,83.97083171,84.03316421,83.38863715,83.68897741,84.10005743,85.07114692,85.50926949
