,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,World,WLD,73.04782088,73.89302194,73.614456,73.37748412,73.18600346,73.56463497,73.95061016,74.71875607,74.74868303,74.82070362,74.81565674,75.46368379,75.77941396,74.94271899,72.16284969,73.35870697,73.60126231,73.25610967,74.46824665,73.6014112,73.34562286,75.1745478,74.91098959,74.58428925,74.64969355,74.99001367,78.06996474,78.18823854,78.42467093,77.85923863,77.91064932,78.03266648,77.76843477,76.71525457,75.7446823,75.32031471,74.51166339,75.05585373,75.69503333,77.24540453,74.71956296,74.16622924,73.48383605,72.67938129,71.35456316,69.26606745,67.9733359,67.60084972,66.23469457,65.86474396,64.02775677,63.5040694,62.92002651,63.12169262,62.97649868,62.49535284,62.8691059
1,Afghanistan,AFG,NaN,NaN,NaN,NaN,33.68945869,38.66976025,37.25464249,35.83952473,29.70249289,33.70681001,40.35882219,57.25310553,53.628093715,50.0030819,45.7850749,53.99524826,50.49758054,45.34396449,34.54283533,24.56151491,32.16204417,26.61915807,83.228645,85.84598344,78.57613174,75.39341674,65.38220634,69.5211724,73.21421964,78.17916785,75.04685658,79.98318768,72.91519208,62.13267801,60.27340649,59.17094969,71.09808273,57.28252432,45.03868582,40.03683519,44.28274197,41.61397697,36.24427504,28.40402313,23.28039745,15.21130329,14.38707741,15.60616827,21.09568586,21.90317435,26.05991918,20.65263211,14.04180913,2.418544143,4.163698005,13.85134188,10.38871757
2,Albania,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.62576218,60.68410904,61.90777581,55.19371053,50.80446318,43.92713729,43.65229016,41.66867693,47.86948924,55.9877636,65.90783081,77.51061804,77.32122625,80.67815166,80.36742306,79.79274659,88.86185274,88.40128242,85.55630953,82.07401068,80.87802661,77.99742843,74.51157677,73.91688676,68.25908606,66.34681244,67.38967564,65.01735949,68.63594399,67.93593006,70.147672,66.95407391,66.23730031,65.38255079,62.94610309,65.35797988
3,Algeria,DZA,92.45178189,92.19275678,90.5441012866667,88.8954457933333,87.2467903,89.37973715,91.512684,83.03697876,86.58491267,82.4499648,80.7194013,81.89954473,82.83660113,80.79926562,82.8578964,87.88662193,86.29853173,83.41473719,82.1191668,82.77674305,82.77904475,83.2507025,81.20258599,81.0014593,80.46971212,83.58283707,83.41061565,77.75461605,80.01061037,78.10416486,84.16022058,83.89527606,85.12581539,86.04259505,82.14237352,82.01316703,80.85255087,82.08344773,82.81740768,81.38699426,81.99081953,81.31390187,78.25475356,73.9533328,73.21824101,71.39411556,71.59315643,71.75779785,69.064486,66.8980093,68.61591698,67.03742256,64.11133897,64.81909034,65.15484496,63.0486946,60.01068636
4,American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.6066658,93.72611202,85.39713542,85.12754391,79.96713993,79.86039294,70.60093928,78.97433344,67.14960018,63.79295736,58.45235406,76.46122945,82.45543058,59.91542314,80.42508392,73.27730544,73.54171367
5,Andorra,AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Angola,AGO,89.01960784,89.17253521,89.19319023,89.42701228,90.72039072,90.96045198,89.97120921,91.11111111,89.51979234,85.58930823,88.58364488,88.39530579,85.87030508,83.5792542,80.37816437,80.7065371842857,81.0349099985714,81.3632828128571,81.6916556271429,82.0200284414286,82.3484012557143,82.67677407,81.54493075,78.09015043,80.71242671,73.14847971,73.48867087,68.61365531,74.97965734,79.11405512,83.11353973,87.12569481,83.94904508,78.60351235,66.78555278,80.1666834,68.21334968,82.93273476,75.99512586,75.80822477,70.69843244,74.33555113,74.70226108,74.97724842,74.19901515,70.61529712,69.48973151,53.40865307,64.63833374,60.14421521,67.3426613,70.270928,65.49367266,70.71682447,65.72712179,59.07339182,61.54187884
7,Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.25012298,97.89448797,94.82544163,97.64494165,86.32516477,81.40338252,68.08465843,85.74946276,95.23929686,49.5657883,53.74435544,52.2287983,50.19977251,53.32548928,52.71169454,64.22284802,67.10877126
8,Argentina,ARG,75.87386947,79.40290331,83.14156336,81.91840099,75.3761711,69.01671333,70.67401743,74.38846294,76.86388509,76.51682898,77.96396878,78.53505365,77.95361585,79.6724281,71.12027465,71.75347069,69.66222855,74.14891138,73.99163258,72.98605037,77.27992866,78.3537846,70.83181208,68.10590586,63.68125672,64.97046571,64.74331293,66.43397504,64.68158781,66.02835173,66.15966393,64.15593305,65.47338618,68.77515436,67.40217741,62.62050784,60.59203511,62.3183592,61.73668515,62.5736839,58.10803992,56.73860138,55.67430454,49.00116185,50.50731825,46.69707622,39.93224382,38.54113068,38.18899386,41.5264843,41.4010996,39.72035428,43.74665972,42.25897704,45.14647159,41.86163992,39.56487445
9,Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.45538458,25.55614742,35.1734316,31.39487736,28.9343585,46.67128899,52.33258129,50.53126832,56.01230401,54.16899694,48.2420705,51.61670049,47.67810919,47.57111514,42.89129777,42.95368502,39.95295139,37.58543706,34.26831537,35.5192559,35.28380316,36.60301848,38.47756841,33.47396712,29.27839905
